Car brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car old
H,2016,13.42984807715229,11.512925464970229,0,Individual,1,1,22.54,7.241366283322318,88.73,5.0,9
M,2011,12.066810578196666,11.512925464970229,0,Individual,1,2,21.0,7.2868764117507,64.1,5.0,14
H,2017,13.764217263576723,10.819778284410283,0,Individual,1,1,25.5,7.311886164077165,98.6,5.0,8
M,2015,13.17115354157376,10.596634733096073,0,Individual,1,1,26.59,7.129297548929373,74.0,5.0,10
M,2012,13.304684934198283,11.184421397998193,0,Individual,1,1,21.5,7.129297548929373,88.8,5.0,13
T,2018,13.122363377404328,10.46310334047155,1,Individual,1,1,20.3,7.089243155027514,83.81,5.0,7
M,2016,13.262125319779487,10.714417768752456,1,Individual,1,1,21.4,7.087573705557973,83.1,5.0,9
M,2017,12.524526376648708,10.239959789157341,1,Individual,1,1,24.7,6.679599185844383,47.3,5.0,8
C,2013,12.611537753638338,11.156250521031495,0,Individual,1,1,18.2,7.129297548929373,73.8,7.0,12
M,2009,12.301382825334498,11.695247021764184,1,Individual,1,1,18.9,6.966967138613983,67.0,5.0,16
M,2018,12.449014902564246,10.126631103850338,1,Individual,1,1,16.8,6.679599185844383,34.2,8.0,7
M,2017,13.415032991367148,11.156250521031495,0,Individual,1,1,24.3,7.129297548929373,88.5,5.0,8
F,2003,11.156250521031495,10.819778284410283,1,Individual,1,2,,,,,22
M,2012,11.918390573078392,10.46310334047155,1,Individual,1,2,14.0,6.679599185844383,35.0,5.0,13
H,2018,13.500799813124575,7.778211474512493,1,Individual,1,1,18.6,7.087573705557973,81.83,5.0,7
M,2017,13.38472764187182,9.692766521220475,0,Individual,1,1,24.3,7.129297548929373,88.5,5.0,8
M,2019,12.810388612383504,9.615805480084347,1,Individual,1,1,23.95,6.905753276311464,67.1,5.0,6
H,2019,13.954402556830892,8.517193191416238,1,Individual,1,1,17.0,7.372118028337787,121.3,5.0,6
D,2016,11.918390573078392,10.645424897265505,1,Individual,1,1,20.63,7.088408778675395,67.0,5.0,9
T,2011,12.959844447906553,11.002099841204238,0,Individual,1,2,13.93,7.68662133494462,138.03,7.0,14
M,2012,11.918390573078392,11.238488619268468,1,Individual,1,1,16.1,6.679599185844383,37.0,4.0,13
J,2019,14.557447902693651,8.517193191416238,1,Individual,0,1,16.0,7.221105098182496,160.77,5.0,6
H,2018,13.737549016494562,10.271596874100524,1,Dealer,1,1,17.8,7.311218384419629,117.3,5.0,7
H,2013,12.959844447906553,11.36558487707152,1,Dealer,1,1,16.8,7.311218384419629,116.3,5.0,12
M,2018,13.422467969854667,10.056208639553791,1,Dealer,0,1,18.5,7.087573705557973,83.14,5.0,7
M,2018,13.617058399727497,10.392067567354799,0,Dealer,1,1,24.3,7.129297548929373,88.5,5.0,7
M,2018,12.873902018105829,9.239899174217728,1,Dealer,1,1,23.95,6.905753276311464,67.05,5.0,7
T,2014,14.22097566607244,11.251560700835821,0,Dealer,1,1,12.55,8.000349495324684,168.5,7.0,11
T,2013,13.458835614025542,11.502875129116727,0,Dealer,1,1,12.99,7.821643126239982,100.0,7.0,12
M,2014,14.187074114396758,10.232791299678729,0,Dealer,0,2,14.8,7.669961995473577,120.7,5.0,11
H,2015,12.959844447906553,10.815770263012745,0,Dealer,1,1,24.7,7.311886164077165,98.63,5.0,10
M,2013,13.901688254205327,11.925035115797062,0,Dealer,1,1,13.5,7.814803429489359,175.56,7.0,12
H,2015,13.304684934198283,10.909618988410072,0,Dealer,1,1,26.0,7.311886164077165,98.6,5.0,10
M,2018,13.652991628466498,11.06663836234181,1,Dealer,1,1,20.65,7.2875606403097235,103.25,5.0,7
H,2015,13.17115354157376,11.05089000537367,0,Dealer,1,1,27.3,7.311886164077165,98.6,5.0,10
T,2016,14.316285845876763,11.75743904202063,0,Dealer,0,2,11.36,7.9211727215870145,171.5,7.0,9
T,2016,13.764217263576723,11.502875129116727,0,Dealer,1,1,12.99,7.821643126239982,100.6,7.0,9
A,2013,14.375126345899696,10.431170293368542,0,Dealer,0,2,17.68,7.584773077612199,174.33,5.0,12
T,2018,14.279244574196415,10.126631103850338,1,Dealer,0,1,14.28,7.494430215031565,138.03,5.0,7
A,2013,14.340238495183105,10.819778284410283,0,Dealer,0,1,18.53,7.584773077612199,187.74,5.0,12
M,2013,14.169682371684887,10.985292722887856,0,Dealer,0,1,14.84,7.669961995473577,170.0,5.0,12
T,2011,12.487485104968359,11.695247021764184,0,Individual,1,1,21.12,7.129297548929373,88.8,5.0,14
H,2011,12.154779351142624,11.608235644774552,1,Individual,1,3,20.36,7.087573705557973,78.9,5.0,14
H,2013,12.959844447906553,11.002099841204238,0,Individual,1,1,21.27,7.241366283322318,88.76,5.0,12
M,2015,13.353475098367715,11.898187865760873,0,Individual,1,2,26.59,7.129297548929373,74.0,5.0,10
F,2017,13.304684934198283,10.126631103850338,1,Individual,1,3,18.16,7.086737934510577,86.8,5.0,8
M,2019,13.38472764187182,10.308952660644293,1,Individual,1,1,21.4,7.087573705557973,83.1,5.0,6
V,2016,13.199324418540456,10.596634733096073,0,Individual,1,1,22.0,7.311886164077165,108.495,5.0,9
H,2015,13.353475098367715,11.813030057420567,0,Individual,1,1,25.1,7.311886164077165,98.6,5.0,10
M,2018,13.012548511397123,10.308952660644293,1,Individual,0,1,20.51,6.905753276311464,67.0,5.0,7
V,2017,13.122363377404328,11.289781913656018,0,Individual,1,1,21.66,7.311886164077165,108.62,5.0,8
M,2016,13.521139497361697,11.156250521031495,0,Individual,1,1,24.3,7.129297548929373,88.5,5.0,9
M,2019,13.840203170554645,9.195226734166134,0,Individual,0,1,24.3,7.129297548929373,88.5,5.0,6
H,2011,12.367340793126296,11.002099841204238,1,Individual,1,2,20.36,7.087573705557973,78.9,5.0,14
M,2016,13.353475098367715,11.156250521031495,0,Individual,1,1,25.2,7.129297548929373,74.0,5.0,9
T,2015,14.346138809026444,11.26446410567173,0,Individual,1,2,12.55,8.000349495324684,168.5,7.0,10
M,2013,13.017002861746503,11.695247021764184,0,Individual,1,2,22.9,7.129297548929373,74.0,5.0,12
M,2012,13.017002861746503,11.695247021764184,1,Individual,1,2,16.02,7.224753405767971,93.7,7.0,13
T,2003,10.819778284410283,11.156250521031495,0,Individual,1,1,,,,,22
V,2013,13.017002861746503,12.043553716032399,0,Individual,1,1,20.54,7.37650812632622,103.6,5.0,12
T,2016,13.997832114758229,11.84939770159144,0,Individual,1,1,12.99,7.821643126239982,100.6,8.0,9
F,2015,13.321214236149494,11.407564949312402,0,Individual,1,1,22.77,7.311886164077165,98.59,5.0,10
B,2016,14.73180128983843,10.308952660644293,1,Individual,0,2,15.71,7.599901959208498,189.0,5.0,9
M,2017,13.091902108061824,9.210340371976184,1,Dealer,1,1,23.1,6.905753276311464,67.04,5.0,8
D,2016,12.524526376648708,10.799575577092764,1,Dealer,1,1,19.02,7.088408778675395,67.05,5.0,9
M,2016,12.66032791780777,10.373491181781864,1,Dealer,1,1,24.7,6.679599185844383,47.3,5.0,9
M,2016,12.524526376648708,10.545341438708522,1,Dealer,1,1,24.7,6.679599185844383,47.3,5.0,9
M,2015,13.071070083016778,11.26446410567173,0,Dealer,1,1,,,,,10
H,2012,12.577636201962656,10.239959789157341,1,Dealer,1,1,19.81,6.990256500493881,68.05,5.0,13
M,2017,12.542544882151386,10.373491181781864,1,Dealer,1,1,14.0,6.679599185844383,35.0,5.0,8
V,2015,13.028052697933088,10.645424897265505,1,Dealer,1,1,16.47,7.088408778675395,74.0,5.0,10
H,2015,12.768541502448002,10.714417768752456,1,Dealer,1,2,19.81,6.990256500493881,68.05,5.0,10
V,2012,13.190022025878143,9.392661928770137,1,Dealer,1,2,15.04,7.37650812632622,103.6,5.0,13
M,2009,12.072541252905651,10.924138299734526,1,Dealer,1,1,18.2,6.905753276311464,67.1,5.0,16
H,2013,13.17115354157376,11.02679245379461,1,Dealer,1,1,18.5,7.087573705557973,82.85,5.0,12
M,2016,13.304684934198283,11.918390573078392,0,Individual,1,1,26.59,7.129297548929373,74.0,5.0,9
H,2016,13.244581010128577,11.184421397998193,1,Dealer,0,1,19.1,7.087573705557973,82.0,5.0,9
M,2008,11.695247021764184,11.127262984158243,1,Dealer,1,3,19.7,6.679599185844383,46.3,5.0,17
H,2017,13.493926933836812,11.608235644774552,0,Individual,1,1,22.54,7.241366283322318,88.73,5.0,8
M,2009,12.128111104060462,11.251560700835821,1,Dealer,1,2,21.79,6.905753276311464,67.05,5.0,16
T,2010,12.206072645530174,11.512925464970229,0,Individual,1,2,18.8,7.129297548929373,90.0,5.0,15
M,2019,13.329377546788654,9.210340371976184,1,Individual,1,1,21.21,7.087573705557973,81.8,5.0,6
M,2016,12.506177237980511,11.512925464970229,1,Individual,1,3,15.37,7.086737934510577,73.0,7.0,9
M,2018,13.321214236149494,10.46310334047155,1,Individual,1,1,21.4,7.087573705557973,83.1,5.0,7
M,2014,13.345506928718539,11.156250521031495,0,Individual,0,2,11.79,7.68662133494462,120.0,8.0,11
F,2020,12.89921982609012,8.517193191416238,1,Individual,1,2,19.0,7.085064293952548,94.68,5.0,5
H,2017,13.671640187544572,10.54006438160768,1,Individual,1,1,17.0,7.372118028337787,121.3,5.0,8
V,2010,13.458835614025542,11.643953727376633,1,Individual,1,1,14.3,7.494430215031565,160.0,5.0,15
T,2010,12.611537753638338,10.778956289890028,1,Individual,1,1,15.8,7.066466970136958,65.0,5.0,15
M,2019,14.346138809026444,10.373491181781864,0,Individual,1,1,15.1,7.68662133494462,155.0,7.0,6
T,2016,12.834681304952548,11.512925464970229,0,Individual,1,1,19.09,7.247792581767846,69.01,5.0,9
H,2013,13.165422866864775,11.918390573078392,0,Individual,1,2,22.32,7.366445148327599,126.32,5.0,12
H,2013,13.02143524642254,11.141861783579396,0,Individual,1,1,21.9,7.241366283322318,88.76,5.0,12
T,2009,12.611537753638338,11.512925464970229,1,Individual,1,2,14.53,7.494430215031565,138.1,5.0,16
M,2020,13.071070083016778,9.472704636443673,1,Individual,1,1,21.63,6.905753276311464,67.04,5.0,5
M,2016,13.567049198665774,11.002099841204238,0,Individual,1,1,24.3,7.129297548929373,88.5,5.0,9
M,2017,13.296316684527767,10.596634733096073,1,Individual,1,1,20.85,7.087573705557973,83.14,5.0,8
M,2017,12.994530005894443,10.46310334047155,1,Individual,1,1,20.51,6.905753276311464,67.04,5.0,8
M,2010,12.611537753638338,11.695247021764184,0,Individual,1,2,,,,,15
N,2014,12.89921982609012,11.156250521031495,0,Individual,1,3,20.45,7.2868764117507,83.8,5.0,11
H,2016,13.946538820370678,10.819778284410283,0,Individual,1,1,19.67,7.366445148327599,126.2,5.0,9
F,2017,13.652991628466498,11.240315896149163,0,Individual,1,1,23.0,7.311886164077165,98.96,5.0,8
M,2012,12.821258284620408,12.072541252905651,0,Individual,1,4,19.3,7.129297548929373,73.9,5.0,13
R,2018,12.765688433465597,10.126631103850338,1,Individual,1,1,23.01,6.906754778648554,67.0,5.0,7
M,2015,12.793859310432293,10.596634733096073,1,Individual,1,2,23.1,6.905753276311464,67.04,5.0,10
M,2008,11.56171562913966,11.082142548877775,1,Individual,1,4,19.7,6.679599185844383,46.3,5.0,17
M,2013,13.345506928718539,11.407564949312402,0,Individual,1,2,20.77,7.129297548929373,88.76,7.0,12
H,2009,11.813030057420567,11.289781913656018,1,Individual,1,2,17.92,6.990256500493881,62.1,5.0,16
M,2015,13.458835614025542,11.608235644774552,0,Individual,1,2,20.77,7.129297548929373,88.76,7.0,10
H,2019,13.444446876573442,7.172424577124845,1,Dealer,1,1,17.8,7.088408778675395,86.7,5.0,6
A,2018,15.19553530607057,10.367221568768269,0,Dealer,0,1,17.01,7.584773077612199,188.0,5.0,7
L,2019,15.454507272639919,9.903487552536127,1,Dealer,0,1,22.37,7.818832443803404,214.56,5.0,6
J,2017,14.978661367769956,10.714417768752456,0,Dealer,0,1,19.33,7.6004023345004,177.0,5.0,8
J,2017,15.226497531674536,9.740968623038354,1,Individual,0,1,9.5,8.189799618728228,280.0,5.0,8
L,2019,15.319587954740548,9.95227771670556,0,Dealer,0,1,12.83,7.6004023345004,148.31,7.0,6
M,2017,15.60727002719233,10.51867319162636,0,Dealer,0,1,13.5,8.00202481821611,254.79,5.0,8
B,2018,15.147876577058609,10.292145542327912,0,Dealer,0,1,22.48,7.598399329323964,187.74,5.0,7
B,2017,14.580978400103845,10.203592144986466,0,Dealer,0,1,,,,,8
B,2019,15.573368475516649,8.922658299524402,0,Dealer,0,1,16.78,7.598399329323964,190.0,5.0,6
S,2018,14.43877107486688,10.819778284410283,1,Dealer,0,1,14.67,7.494430215031565,177.46,5.0,7
M,2016,14.808762330974558,10.46310334047155,0,Dealer,0,1,15.0,7.669961995473577,204.0,5.0,9
M,2019,14.375126345899696,9.852194258148577,1,Dealer,0,1,13.96,7.280008252884188,141.0,5.0,6
H,2017,13.58609739363647,10.621327345686446,1,Dealer,0,1,18.0,7.311218384419629,117.6,5.0,8
T,2013,13.345506928718539,10.571316925111784,1,Dealer,0,1,14.28,7.494430215031565,138.03,5.0,12
V,2018,15.03928598958639,9.998797732340453,0,Dealer,0,1,18.0,7.585281078639126,190.0,5.0,7
A,2015,14.790070197962406,10.87804719253426,0,Dealer,0,1,12.07,7.995306620290822,241.4,7.0,10
M,2015,13.190022025878143,10.596634733096073,0,Dealer,1,1,26.21,7.129297548929373,88.5,5.0,10
M,2017,15.58195221920804,10.757902880692196,0,Dealer,0,1,13.5,8.00202481821611,282.0,5.0,8
B,2010,13.790192749979985,11.187195324880918,1,Dealer,0,2,10.8,7.822845290279774,150.0,5.0,15
H,2016,13.5985975564007,10.81777628173961,1,Dealer,1,1,16.3,7.493873886783559,147.5,5.0,9
J,2017,14.780591454007862,9.104979856318357,0,Dealer,0,1,13.6,7.6004023345004,177.0,5.0,8
T,2018,13.60602333309755,9.305650551780507,1,Dealer,1,1,17.0,7.088408778675395,108.5,5.0,7
V,2011,12.834681304952548,10.799575577092764,1,Individual,1,1,15.04,7.37650812632622,103.6,5.0,14
H,2012,13.217673557208654,11.461632170582678,1,Individual,1,1,16.3,7.493873886783559,147.5,5.0,13
S,2016,13.37700559577791,9.305650551780507,1,Dealer,0,1,14.3,7.37650812632622,103.5,5.0,9
M,2018,14.75160391713461,9.798127036878302,1,Dealer,0,1,15.04,7.596392304064196,183.0,5.0,7
M,2014,13.303016877097587,10.73856822898474,1,Dealer,1,1,16.02,7.224753405767971,93.7,7.0,11
M,2017,14.808762330974558,9.680344001221918,1,Dealer,0,1,14.74,7.596392304064196,181.04,5.0,8
H,2017,13.681979165339751,9.798127036878302,1,Dealer,0,1,15.6,7.311218384419629,116.3,5.0,8
T,2019,13.704577879937933,9.175127616220438,1,Dealer,0,1,19.56,7.087573705557973,81.8,5.0,6
M,2011,12.072541252905651,9.305650551780507,1,Dealer,1,1,23.95,6.905753276311464,67.05,5.0,14
M,2012,12.736700896592344,10.09823162932864,1,Dealer,1,1,21.21,7.087573705557973,81.8,5.0,13
T,2016,14.237504968023648,10.649298338178925,0,Dealer,0,2,11.36,7.9211727215870145,171.5,7.0,9
T,2018,13.840203170554645,8.987196820661973,0,Dealer,0,1,21.5,7.311218384419629,108.5,5.0,7
B,2016,14.580978400103845,10.308952660644293,0,Dealer,0,1,22.69,7.598399329323964,190.0,5.0,9
T,2016,14.457364444136669,10.621327345686446,1,Dealer,0,1,19.16,7.821643126239982,157.7,5.0,9
B,2016,14.880221294956703,9.392661928770137,0,Dealer,0,1,18.12,7.598399329323964,190.0,5.0,9
T,2009,13.017002861746503,11.170435156023453,1,Dealer,0,1,12.1,7.767263996757308,164.7,5.0,16
M,2016,13.652991628466498,9.903487552536127,1,Individual,1,1,17.5,7.224753405767971,91.1,7.0,9
V,2017,16.11809565095832,10.308952660644293,1,Individual,0,1,42.0,7.585281078639126,400.0,4.0,8
V,2011,12.611537753638338,11.512925464970229,0,Individual,1,2,20.54,7.37650812632622,103.6,5.0,14
F,2018,13.262125319779487,9.159047077588632,1,Individual,1,1,18.16,7.086737934510577,86.8,5.0,7
F,2011,11.982929094215963,11.695247021764184,0,Individual,1,1,20.0,7.243512974665482,68.0,5.0,14
M,2015,13.151922179645874,10.507803519389457,1,Individual,1,1,20.4,7.087573705557973,81.8,5.0,10
M,2015,12.873902018105829,10.819778284410283,1,Individual,0,2,20.51,6.905753276311464,67.0,5.0,10
H,2016,13.217673557208654,9.546812608597396,1,Individual,1,2,18.6,7.087573705557973,81.83,5.0,9
M,1999,10.596634733096073,10.596634733096073,1,Individual,1,2,16.1,6.679599185844383,37.0,4.0,26
M,2010,12.301382825334498,11.695247021764184,0,Individual,1,1,21.1,7.129297548929373,73.9,5.0,15
H,2015,12.959844447906553,11.156250521031495,1,Individual,1,1,18.9,7.087573705557973,82.0,5.0,10
V,2019,13.081541382884074,9.472704636443673,1,Individual,1,1,19.44,6.906754778648554,75.0,5.0,6
H,2014,12.89921982609012,11.002099841204238,1,Individual,1,2,18.9,7.087573705557973,82.0,5.0,11
M,2014,13.096019402064726,10.46310334047155,1,Individual,1,1,19.1,7.087573705557973,85.8,5.0,11
H,2016,12.863592648446968,10.691944912900398,1,Individual,1,2,19.1,7.087573705557973,82.0,5.0,9
H,2005,11.512925464970229,11.695247021764184,1,Individual,1,2,13.0,7.30854279753919,100.0,5.0,20
T,2010,12.611537753638338,11.002099841204238,0,Individual,1,1,21.43,7.218176838403408,87.2,5.0,15
D,2000,11.512925464970229,11.002099841204238,1,Individual,1,1,18.5,6.679599185844383,53.0,5.0,25
T,2014,14.375126345899696,10.308952660644293,0,Individual,1,2,13.0,8.000349495324684,168.5,7.0,11
M,2016,13.017002861746503,9.615805480084347,1,Individual,1,2,18.15,7.088408778675395,82.0,6.0,9
T,2017,13.102160670086809,11.407564949312402,0,Individual,1,1,22.95,7.129297548929373,74.0,5.0,8
H,2009,12.751299696013497,10.757902880692196,1,Individual,1,2,17.0,7.311218384419629,118.0,5.0,16
M,2005,11.350406535472453,11.407564949312402,1,Individual,1,1,17.3,6.900730664045173,60.0,5.0,20
M,2010,12.2783933071098,11.700234563275222,1,Individual,1,2,18.9,6.905753276311464,67.1,5.0,15
H,2010,12.676076274775909,11.512925464970229,1,Individual,1,3,16.2,7.377133712833954,103.2,5.0,15
M,2016,13.038979594549872,11.002099841204238,1,Individual,1,2,20.85,7.087573705557973,83.14,5.0,9
H,2005,11.082142548877775,11.362102575235644,1,Individual,1,1,15.3,7.201170883281678,83.0,5.0,20
H,2020,13.487006490992238,8.517193191416238,1,Individual,1,1,18.6,7.087573705557973,81.86,5.0,5
M,2017,13.592367006650065,10.51867319162636,0,Individual,1,1,28.09,7.129297548929373,88.5,5.0,8
T,2019,13.16158409055761,9.546812608597396,1,Individual,1,1,20.3,7.089243155027514,84.0,5.0,6
M,2015,13.270783382522602,11.156250521031495,0,Individual,1,1,20.77,7.129297548929373,88.76,7.0,10
T,2012,12.367340793126296,11.695247021764184,0,Individual,1,1,,,,,13
H,2015,13.304684934198283,10.819778284410283,1,Individual,1,1,17.4,7.311218384419629,117.3,5.0,10
H,2014,12.577636201962656,11.002099841204238,1,Individual,1,2,19.4,7.088408778675395,86.8,5.0,11
M,2017,13.217673557208654,10.819778284410283,1,Individual,1,1,20.85,7.087573705557973,83.14,5.0,8
H,2013,12.834681304952548,11.156250521031495,1,Individual,1,1,18.5,7.087573705557973,82.85,5.0,12
M,2003,10.596634733096073,11.407564949312402,1,Individual,1,2,,,,,22
M,2018,12.948009990259552,10.46310334047155,1,Individual,0,1,20.51,6.905753276311464,67.0,5.0,7
M,2017,13.217673557208654,9.903487552536127,1,Individual,1,1,21.21,7.087573705557973,81.8,5.0,8
M,2018,12.506177237980511,9.903487552536127,1,Individual,1,1,24.7,6.679599185844383,47.3,5.0,7
M,2018,13.458835614025542,8.961879012677683,1,Individual,0,1,22.0,7.087573705557973,81.8,5.0,7
M,2017,13.122363377404328,9.903487552536127,1,Individual,1,1,20.4,7.087573705557973,81.8,5.0,8
T,2019,14.038654109278484,9.615805480084347,0,Individual,1,1,17.6,7.68662133494462,147.94,7.0,6
H,2013,12.676076274775909,10.353830419422378,1,Individual,1,2,18.5,7.087573705557973,82.85,5.0,12
M,2018,13.458835614025542,10.819778284410283,0,Individual,1,1,28.4,7.129297548929373,74.02,5.0,7
M,2015,12.577636201962656,11.002099841204238,1,Individual,1,1,20.51,6.905753276311464,67.04,5.0,10
T,2012,13.217673557208654,11.512925464970229,1,Individual,0,1,14.53,7.492203042618741,138.1,5.0,13
H,2012,12.487485104968359,11.002099841204238,1,Individual,1,1,19.4,7.088408778675395,86.8,5.0,13
M,2018,13.62918097977278,8.517193191416238,1,Individual,0,1,21.4,7.087573705557973,83.1,5.0,7
T,2017,13.592367006650065,11.002099841204238,0,Individual,1,1,14.1,7.68662133494462,147.94,7.0,8
M,2011,11.982929094215963,10.126631103850338,1,Individual,1,2,19.7,6.679599185844383,46.3,5.0,14
R,2018,12.721885810807203,10.308952660644293,1,Individual,1,1,25.17,6.683360945766275,53.3,5.0,7
D,2017,12.70381302974751,11.289781913656018,1,Individual,1,2,20.63,7.088408778675395,67.0,5.0,8
M,2017,13.560618308335483,11.225243392518447,0,Individual,1,1,24.3,7.129297548929373,88.5,5.0,8
H,2020,13.169246963303179,10.373491181781864,1,Individual,1,1,20.14,7.087573705557973,81.86,5.0,5
M,2015,12.409013489526863,10.596634733096073,1,Individual,1,1,22.74,6.679599185844383,47.3,5.0,10
H,2012,12.524526376648708,11.440354772135393,1,Individual,1,2,17.0,7.087573705557973,80.0,5.0,13
T,2018,13.16158409055761,11.002099841204238,1,Individual,1,1,17.57,7.084226422097916,88.7,5.0,7
M,2008,11.77528972943772,11.695247021764184,1,Individual,1,2,,,,,17
N,2014,13.217673557208654,10.51867319162636,1,Individual,1,1,16.95,7.311886164077165,97.7,5.0,11
F,2018,13.721199878493033,9.615805480084347,1,Individual,1,1,17.0,7.311218384419629,121.36,5.0,7
N,2015,12.611537753638338,11.289781913656018,1,Individual,1,1,19.49,7.088408778675395,67.04,5.0,10
M,2016,12.765688433465597,11.84939770159144,1,Individual,1,1,20.51,6.905753276311464,67.04,5.0,9
M,2013,13.710150042306449,11.156250521031495,0,Individual,1,1,12.83,7.899524472032198,162.0,7.0,12
M,2013,12.611537753638338,11.695247021764184,0,Individual,1,2,17.21,7.30854279753919,100.0,7.0,12
M,2010,12.429216196844383,11.608235644774552,0,Individual,1,2,21.1,7.129297548929373,73.9,5.0,15
H,2017,13.9108207377686,10.51867319162636,0,Individual,1,1,19.67,7.366445148327599,126.2,5.0,8
R,2016,12.506177237980511,10.691944912900398,1,Individual,1,1,25.17,6.683360945766275,53.3,5.0,9
M,2015,13.369223455335854,11.289781913656018,0,Individual,1,1,20.77,7.129297548929373,88.76,7.0,10
M,2015,13.38472764187182,11.736069016284437,0,Individual,1,1,15.1,7.68662133494462,140.0,7.0,10
M,2017,12.923909999653127,9.51044496442652,1,Individual,1,1,15.37,7.086737934510577,73.0,5.0,8
H,2011,12.013700752882718,11.225243392518447,1,Individual,1,1,17.92,6.990256500493881,62.1,5.0,14
H,2007,11.289781913656018,11.695247021764184,1,Individual,1,2,13.2,7.3098814858247865,94.0,5.0,18
M,2012,13.190022025878143,11.695247021764184,0,Individual,1,1,15.1,7.68662133494462,140.0,7.0,13
T,2013,13.458835614025542,11.156250521031495,0,Individual,1,1,12.99,7.821643126239982,100.57,7.0,12
M,2013,13.217673557208654,11.156250521031495,0,Individual,1,1,23.4,7.129297548929373,74.0,5.0,12
H,2019,13.42984807715229,9.615805480084347,1,Individual,0,1,19.0,7.089243155027514,88.76,5.0,6
H,2009,12.206072645530174,10.87804719253426,1,Individual,1,2,20.36,7.087573705557973,78.9,5.0,16
M,2014,13.122363377404328,11.695247021764184,0,Individual,1,2,23.4,7.129297548929373,74.0,5.0,11
M,2016,13.815510557964274,11.156250521031495,0,Individual,1,1,24.52,7.129297548929373,88.5,7.0,9
H,2008,11.608235644774552,11.695247021764184,1,Individual,1,2,14.2,7.201170883281678,82.9,5.0,17
H,2012,12.676076274775909,11.512925464970229,1,Individual,1,2,18.5,7.087573705557973,80.0,5.0,13
T,2005,11.225243392518447,11.608235644774552,0,Individual,1,2,,,,,20
M,2015,12.765688433465597,11.512925464970229,1,Individual,1,1,20.4,7.087573705557973,83.11,5.0,10
T,2013,12.043553716032399,11.998433280751929,0,Individual,1,1,19.4,7.247792581767846,70.0,5.0,12
H,2017,13.592367006650065,10.571316925111784,0,Individual,1,1,22.54,7.241366283322318,88.73,5.0,8
M,2017,13.122363377404328,11.225243392518447,0,Individual,1,1,26.8,7.129297548929373,74.0,5.0,8
T,2017,14.137594057133388,10.819778284410283,0,Individual,0,1,17.6,7.68662133494462,153.86,7.0,8
M,2019,14.077874822431765,10.596634733096073,0,Individual,1,1,17.3,7.311218384419629,121.0,8.0,6
H,2013,13.180632285528304,11.434963923500517,0,Individual,1,1,22.32,7.366445148327599,126.3,5.0,12
M,2012,12.793859310432293,11.970350312009105,0,Individual,1,1,23.4,7.129297548929373,74.0,5.0,13
M,2012,12.644327576461329,11.695247021764184,0,Individual,1,1,19.3,7.129297548929373,73.9,5.0,13
H,2015,13.493926933836812,10.819778284410283,0,Individual,1,2,26.0,7.311886164077165,98.6,5.0,10
M,2012,12.736700896592344,11.608235644774552,0,Individual,1,1,19.3,7.129297548929373,73.9,5.0,13
H,2017,13.217673557208654,7.600902459542082,0,Individual,1,2,25.4,7.078341579557671,73.97,5.0,8
T,2011,13.955272500339433,12.106252310247962,0,Individual,1,2,11.5,8.000349495324684,171.0,7.0,14
T,2016,12.84792653170257,11.156250521031495,0,Individual,1,1,27.28,6.953684210870537,69.0,5.0,9
